City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,72
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,6
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,3
613,Albrandswaard,Zuid-Holland,5
361,Alkmaar,Noord-Holland,24
141,Almelo,Overijssel,12
34,Almere,Flevoland,61
484,Alphen aan den Rijn,Zuid-Holland,33
1723,Alphen-Chaam,Noord-Brabant,10
1959,Altena,Noord-Brabant,19
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,28
362,Amstelveen,Noord-Holland,31
363,Amsterdam,Noord-Holland,263
200,Apeldoorn,Gelderland,22
3,Appingedam,Groningen,1
202,Arnhem,Gelderland,33
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,6
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,4
489,Barendrecht,Zuid-Holland,18
203,Barneveld,Gelderland,8
888,Beek,Limburg,7
1954,Beekdaelen,Limburg,28
370,Beemster,Noord-Holland,2
889,Beesel,Limburg,11
1945,Berg en Dal,Gelderland,19
1724,Bergeijk,Noord-Brabant,5
893,Bergen (L.),Limburg,3
373,Bergen (NH.),Noord-Holland,11
748,Bergen op Zoom,Noord-Brabant,13
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,65
753,Best,Noord-Brabant,21
209,Beuningen,Gelderland,14
375,Beverwijk,Noord-Holland,7
1728,Bladel,Noord-Brabant,11
376,Blaricum,Noord-Holland,5
377,Bloemendaal,Noord-Holland,3
1901,Bodegraven-Reeuwijk,Zuid-Holland,3
755,Boekel,Noord-Brabant,26
1681,Borger-Odoorn,Drenthe,1
147,Borne,Overijssel,10
654,Borsele,Zeeland,3
756,Boxmeer,Noord-Brabant,11
757,Boxtel,Noord-Brabant,9
758,Breda,Noord-Brabant,121
501,Brielle,Zuid-Holland,5
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,5
899,Brunssum,Limburg,21
312,Bunnik,Utrecht,4
313,Bunschoten,Utrecht,2
214,Buren,Gelderland,5
502,Capelle aan den IJssel,Zuid-Holland,23
383,Castricum,Noord-Holland,8
109,Coevorden,Drenthe,6
1706,Cranendonck,Noord-Brabant,38
1684,Cuijk,Noord-Brabant,6
216,Culemborg,Gelderland,17
148,Dalfsen,Overijssel,9
1891,Dantumadiel,Friesland,1
310,De Bilt,Utrecht,13
1940,De Fryske Marren,Friesland,11
736,De Ronde Venen,Utrecht,16
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,23
10,Delfzijl,Groningen,4
400,Den Helder,Noord-Holland,6
762,Deurne,Noord-Brabant,39
150,Deventer,Overijssel,25
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,15
221,Doesburg,Gelderland,3
222,Doetinchem,Gelderland,5
766,Dongen,Noord-Brabant,10
505,Dordrecht,Zuid-Holland,32
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,12
225,Druten,Gelderland,13
226,Duiven,Gelderland,4
1711,Echt-Susteren,Limburg,22
385,Edam-Volendam,Noord-Holland,10
228,Ede,Gelderland,31
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,15
1903,Eijsden-Margraten,Limburg,24
772,Eindhoven,Noord-Brabant,69
230,Elburg,Gelderland,4
114,Emmen,Drenthe,6
388,Enkhuizen,Noord-Holland,14
153,Enschede,Overijssel,28
232,Epe,Gelderland,10
233,Ermelo,Gelderland,11
777,Etten-Leur,Noord-Brabant,26
779,Geertruidenberg,Noord-Brabant,8
1771,Geldrop-Mierlo,Noord-Brabant,13
1652,Gemert-Bakel,Noord-Brabant,57
907,Gennep,Limburg,11
784,Gilze en Rijen,Noord-Brabant,15
1924,Goeree-Overflakkee,Zuid-Holland,29
664,Goes,Zeeland,7
785,Goirle,Noord-Brabant,19
1942,Gooise Meren,Noord-Holland,15
512,Gorinchem,Zuid-Holland,10
513,Gouda,Zuid-Holland,15
786,Grave,Noord-Brabant,11
14,Groningen,Groningen,12
1729,Gulpen-Wittem,Limburg,10
158,Haaksbergen,Overijssel,6
788,Haaren,Noord-Brabant,14
392,Haarlem,Noord-Holland,32
394,Haarlemmermeer,Noord-Holland,34
1655,Halderberge,Noord-Brabant,9
160,Hardenberg,Overijssel,10
243,Harderwijk,Gelderland,8
523,Hardinxveld-Giessendam,Zuid-Holland,1
72,Harlingen,Friesland,1
244,Hattem,Gelderland,5
396,Heemskerk,Noord-Holland,17
397,Heemstede,Noord-Holland,5
246,Heerde,Gelderland,19
74,Heerenveen,Friesland,7
398,Heerhugowaard,Noord-Holland,19
917,Heerlen,Limburg,66
1658,Heeze-Leende,Noord-Brabant,6
399,Heiloo,Noord-Holland,5
163,Hellendoorn,Overijssel,4
530,Hellevoetsluis,Zuid-Holland,6
794,Helmond,Noord-Brabant,45
531,Hendrik-Ido-Ambacht,Zuid-Holland,3
164,Hengelo,Overijssel,8
1966,Het Hogeland,Groningen,4
252,Heumen,Gelderland,10
797,Heusden,Noord-Brabant,29
534,Hillegom,Zuid-Holland,4
798,Hilvarenbeek,Noord-Brabant,5
402,Hilversum,Noord-Holland,16
1963,Hoeksche Waard,Zuid-Holland,35
1735,Hof van Twente,Overijssel,10
1911,Hollands Kroon,Noord-Holland,21
118,Hoogeveen,Drenthe,5
