City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,80
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,7
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,4
613,Albrandswaard,Zuid-Holland,5
361,Alkmaar,Noord-Holland,28
141,Almelo,Overijssel,13
34,Almere,Flevoland,67
484,Alphen aan den Rijn,Zuid-Holland,36
1723,Alphen-Chaam,Noord-Brabant,10
1959,Altena,Noord-Brabant,21
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,31
362,Amstelveen,Noord-Holland,33
363,Amsterdam,Noord-Holland,286
200,Apeldoorn,Gelderland,24
3,Appingedam,Groningen,1
202,Arnhem,Gelderland,37
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,7
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,7
489,Barendrecht,Zuid-Holland,20
203,Barneveld,Gelderland,8
888,Beek,Limburg,10
1954,Beekdaelen,Limburg,28
370,Beemster,Noord-Holland,2
889,Beesel,Limburg,11
1945,Berg en Dal,Gelderland,21
1724,Bergeijk,Noord-Brabant,7
893,Bergen (L.),Limburg,3
373,Bergen (NH.),Noord-Holland,11
748,Bergen op Zoom,Noord-Brabant,14
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,68
753,Best,Noord-Brabant,24
209,Beuningen,Gelderland,15
375,Beverwijk,Noord-Holland,8
1728,Bladel,Noord-Brabant,11
376,Blaricum,Noord-Holland,5
377,Bloemendaal,Noord-Holland,4
1901,Bodegraven-Reeuwijk,Zuid-Holland,4
755,Boekel,Noord-Brabant,27
1681,Borger-Odoorn,Drenthe,2
147,Borne,Overijssel,12
654,Borsele,Zeeland,3
756,Boxmeer,Noord-Brabant,12
757,Boxtel,Noord-Brabant,11
758,Breda,Noord-Brabant,125
501,Brielle,Zuid-Holland,5
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,6
899,Brunssum,Limburg,23
312,Bunnik,Utrecht,5
313,Bunschoten,Utrecht,2
214,Buren,Gelderland,6
502,Capelle aan den IJssel,Zuid-Holland,23
383,Castricum,Noord-Holland,11
109,Coevorden,Drenthe,6
1706,Cranendonck,Noord-Brabant,41
1684,Cuijk,Noord-Brabant,6
216,Culemborg,Gelderland,17
148,Dalfsen,Overijssel,9
1891,Dantumadiel,Friesland,1
310,De Bilt,Utrecht,15
1940,De Fryske Marren,Friesland,11
736,De Ronde Venen,Utrecht,17
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,23
10,Delfzijl,Groningen,4
400,Den Helder,Noord-Holland,6
762,Deurne,Noord-Brabant,43
150,Deventer,Overijssel,25
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,15
221,Doesburg,Gelderland,3
222,Doetinchem,Gelderland,6
766,Dongen,Noord-Brabant,10
505,Dordrecht,Zuid-Holland,40
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,12
225,Druten,Gelderland,16
226,Duiven,Gelderland,4
1711,Echt-Susteren,Limburg,23
385,Edam-Volendam,Noord-Holland,11
228,Ede,Gelderland,31
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,16
1903,Eijsden-Margraten,Limburg,25
772,Eindhoven,Noord-Brabant,79
230,Elburg,Gelderland,4
114,Emmen,Drenthe,6
388,Enkhuizen,Noord-Holland,14
153,Enschede,Overijssel,32
232,Epe,Gelderland,10
233,Ermelo,Gelderland,11
777,Etten-Leur,Noord-Brabant,29
779,Geertruidenberg,Noord-Brabant,9
1771,Geldrop-Mierlo,Noord-Brabant,18
1652,Gemert-Bakel,Noord-Brabant,59
907,Gennep,Limburg,11
784,Gilze en Rijen,Noord-Brabant,15
1924,Goeree-Overflakkee,Zuid-Holland,32
664,Goes,Zeeland,8
785,Goirle,Noord-Brabant,20
1942,Gooise Meren,Noord-Holland,15
512,Gorinchem,Zuid-Holland,10
513,Gouda,Zuid-Holland,18
786,Grave,Noord-Brabant,13
14,Groningen,Groningen,12
1729,Gulpen-Wittem,Limburg,10
158,Haaksbergen,Overijssel,6
788,Haaren,Noord-Brabant,14
392,Haarlem,Noord-Holland,34
394,Haarlemmermeer,Noord-Holland,38
1655,Halderberge,Noord-Brabant,9
160,Hardenberg,Overijssel,10
243,Harderwijk,Gelderland,8
523,Hardinxveld-Giessendam,Zuid-Holland,1
72,Harlingen,Friesland,2
244,Hattem,Gelderland,5
396,Heemskerk,Noord-Holland,18
397,Heemstede,Noord-Holland,6
246,Heerde,Gelderland,19
74,Heerenveen,Friesland,9
398,Heerhugowaard,Noord-Holland,21
917,Heerlen,Limburg,72
1658,Heeze-Leende,Noord-Brabant,7
399,Heiloo,Noord-Holland,7
163,Hellendoorn,Overijssel,5
530,Hellevoetsluis,Zuid-Holland,7
794,Helmond,Noord-Brabant,52
531,Hendrik-Ido-Ambacht,Zuid-Holland,3
164,Hengelo,Overijssel,9
1966,Het Hogeland,Groningen,5
252,Heumen,Gelderland,11
797,Heusden,Noord-Brabant,31
534,Hillegom,Zuid-Holland,5
798,Hilvarenbeek,Noord-Brabant,6
402,Hilversum,Noord-Holland,17
1963,Hoeksche Waard,Zuid-Holland,42
1735,Hof van Twente,Overijssel,10
1911,Hollands Kroon,Noord-Holland,22
118,Hoogeveen,Drenthe,7
405,Hoorn,Noord-Holland,18
1507,Horst aan de Maas,Limburg,33
321,Houten,Utrecht,13
406,Huizen,Noord-Holland,12
677,Hulst,Zeeland,4
353,IJsselstein,Utrecht,23
1884,Kaag en Braassem,Zuid-Holland,5
166,Kampen,Overijssel,38
678,Kapelle,Zeeland,1
537,Katwijk,Zuid-Holland,12
928,Kerkrade,Limburg,33
1598,Koggenland,Noord-Holland,6
542,Krimpen aan den IJssel,Zuid-Holland,4
1931,Krimpenerwaard,Zuid-Holland,28
1659,Laarbeek,Noord-Brabant,25
1685,Landerd,Noord-Brabant,23
882,Landgraaf,Limburg,27
415,Landsmeer,Noord-Holland,3
416,Langedijk,Noord-Holland,10
1621,Lansingerland,Zuid-Holland,20
417,Laren,Noord-Holland,7
80,Leeuwarden,Friesland,24
546,Leiden,Zuid-Holland,19
547,Leiderdorp,Zuid-Holland,6
1916,Leidschendam-Voorburg,Zuid-Holland,9
995,Lelystad,Flevoland,30
1640,Leudal,Limburg,38
327,Leusden,Utrecht,5
1705,Lingewaard,Gelderland,18
553,Lisse,Zuid-Holland,3
262,Lochem,Gelderland,5
809,Loon op Zand,Noord-Brabant,17
331,Lopik,Utrecht,12
24,Loppersum,Groningen,0
168,Losser,Overijssel,4
263,Maasdriel,Gelderland,11
1641,Maasgouw,Limburg,15
556,Maassluis,Zuid-Holland,10
935,Maastricht,Limburg,87
420,Medemblik,Noord-Holland,10
938,Meerssen,Limburg,8
1948,Meierijstad,Noord-Brabant,134
119,Meppel,Drenthe,4
687,Middelburg,Zeeland,13
1842,Midden-Delfland,Zuid-Holland,3
1731,Midden-Drenthe,Drenthe,4
1952,Midden-Groningen,Groningen,4
815,Mill en Sint Hubert,Noord-Brabant,6
1709,Moerdijk,Noord-Brabant,7
1978,Molenlanden,Zuid-Holland,13
1955,Montferland,Gelderland,4
335,Montfoort,Utrecht,11
944,Mook en Middelaar,Limburg,3
1740,Neder-Betuwe,Gelderland,26
946,Nederweert,Limburg,24
356,Nieuwegein,Utrecht,21
569,Nieuwkoop,Zuid-Holland,5
267,Nijkerk,Gelderland,16
268,Nijmegen,Gelderland,87
1930,Nissewaard,Zuid-Holland,23
1970,Noardeast-Fryslân,Friesland,4
1695,Noord-Beveland,Zeeland,0
1699,Noordenveld,Drenthe,1
171,Noordoostpolder,Flevoland,8
575,Noordwijk,Zuid-Holland,9
820,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,12
302,Nunspeet,Gelderland,19
579,Oegstgeest,Zuid-Holland,5
823,Oirschot,Noord-Brabant,9
824,Oisterwijk,Noord-Brabant,10
1895,Oldambt,Groningen,1
269,Oldebroek,Gelderland,8
173,Oldenzaal,Overijssel,10
1773,Olst-Wijhe,Overijssel,6
175,Ommen,Overijssel,6
1586,Oost Gelre,Gelderland,2
826,Oosterhout,Noord-Brabant,25
85,Ooststellingwerf,Friesland,1
431,Oostzaan,Noord-Holland,4
432,Opmeer,Noord-Holland,1
86,Opsterland,Friesland,5
828,Oss,Noord-Brabant,93
1509,Oude IJsselstreek,Gelderland,4
437,Ouder-Amstel,Noord-Holland,4
589,Oudewater,Utrecht,16
1734,Overbetuwe,Gelderland,42
590,Papendrecht,Zuid-Holland,1
1894,Peel en Maas,Limburg,117
765,Pekela,Groningen,4
1926,Pijnacker-Nootdorp,Zuid-Holland,10
439,Purmerend,Noord-Holland,44
273,Putten,Gelderland,1
177,Raalte,Overijssel,18
703,Reimerswaal,Zeeland,4
274,Renkum,Gelderland,11
339,Renswoude,Utrecht,1
1667,Reusel-De Mierden,Noord-Brabant,6
275,Rheden,Gelderland,26
340,Rhenen,Utrecht,3
597,Ridderkerk,Zuid-Holland,23
1742,Rijssen-Holten,Overijssel,13
603,Rijswijk,Zuid-Holland,14
1669,Roerdalen,Limburg,18
957,Roermond,Limburg,33
1674,Roosendaal,Noord-Brabant,15
599,Rotterdam,Zuid-Holland,159
277,Rozendaal,Gelderland,1
840,Rucphen,Noord-Brabant,5
518,s-Gravenhage,Zuid-Holland,115
441,Schagen,Noord-Holland,11
279,Scherpenzeel,Gelderland,0
606,Schiedam,Zuid-Holland,23
88,Schiermonnikoog,Friesland,0
1676,Schouwen-Duiveland,Zeeland,7
965,Simpelveld,Limburg,13
1702,Sint Anthonis,Noord-Brabant,15
845,Sint-Michielsgestel,Noord-Brabant,15
1883,Sittard-Geleen,Limburg,63
610,Sliedrecht,Zuid-Holland,2
1714,Sluis,Zeeland,4
90,Smallingerland,Friesland,5
342,Soest,Utrecht,13
847,Someren,Noord-Brabant,19
848,Son en Breugel,Noord-Brabant,20
37,Stadskanaal,Groningen,0
180,Staphorst,Overijssel,3
532,Stede Broec,Noord-Holland,13
851,Steenbergen,Noord-Brabant,8
1708,Steenwijkerland,Overijssel,8
971,Stein,Limburg,25
1904,Stichtse Vecht,Utrecht,20
1900,Súdwest-Fryslân,Friesland,13
715,Terneuzen,Zeeland,15
93,Terschelling,Friesland,0
448,Texel,Noord-Holland,2
1525,Teylingen,Zuid-Holland,8
716,Tholen,Zeeland,26
281,Tiel,Gelderland,24
855,Tilburg,Noord-Brabant,135
183,Tubbergen,Overijssel,8
1700,Twenterand,Overijssel,6
1730,Tynaarlo,Drenthe,6
737,Tytsjerksteradiel,Friesland,3
856,Uden,Noord-Brabant,80
450,Uitgeest,Noord-Holland,3
451,Uithoorn,Noord-Holland,9
184,Urk,Flevoland,13
344,Utrecht,Utrecht,103
1581,Utrechtse Heuvelrug,Utrecht,13
981,Vaals,Limburg,6
994,Valkenburg aan de Geul,Limburg,8
858,Valkenswaard,Noord-Brabant,10
47,Veendam,Groningen,1
345,Veenendaal,Utrecht,9
717,Veere,Zeeland,3
861,Veldhoven,Noord-Brabant,14
453,Velsen,Noord-Holland,16
983,Venlo,Limburg,80
984,Venray,Limburg,23
1961,Vijfheerenlanden,Utrecht,15
622,Vlaardingen,Zuid-Holland,17
96,Vlieland,Friesland,0
718,Vlissingen,Zeeland,6
986,Voerendaal,Limburg,8
626,Voorschoten,Zuid-Holland,6
285,Voorst,Gelderland,6
865,Vught,Noord-Brabant,27
1949,Waadhoeke,Friesland,4
866,Waalre,Noord-Brabant,3
867,Waalwijk,Noord-Brabant,15
627,Waddinxveen,Zuid-Holland,7
289,Wageningen,Gelderland,8
629,Wassenaar,Zuid-Holland,2
852,Waterland,Noord-Holland,8
988,Weert,Limburg,33
457,Weesp,Noord-Holland,5
1960,West Betuwe,Gelderland,17
668,West Maas en Waal,Gelderland,9
1969,Westerkwartier,Groningen,10
1701,Westerveld,Drenthe,3
293,Westervoort,Gelderland,4
1950,Westerwolde,Groningen,4
1783,Westland,Zuid-Holland,29
98,Weststellingwerf,Friesland,2
614,Westvoorne,Zuid-Holland,5
189,Wierden,Overijssel,2
296,Wijchen,Gelderland,32
1696,Wijdemeren,Noord-Holland,5
352,Wijk bij Duurstede,Utrecht,7
294,Winterswijk,Gelderland,1
873,Woensdrecht,Noord-Brabant,4
632,Woerden,Utrecht,27
880,Wormerland,Noord-Holland,11
351,Woudenberg,Utrecht,3
479,Zaanstad,Noord-Holland,48
297,Zaltbommel,Gelderland,10
473,Zandvoort,Noord-Holland,7
50,Zeewolde,Flevoland,5
355,Zeist,Utrecht,18
299,Zevenaar,Gelderland,24
637,Zoetermeer,Zuid-Holland,24
638,Zoeterwoude,Zuid-Holland,2
1892,Zuidplas,Zuid-Holland,12
879,Zundert,Noord-Brabant,14
301,Zutphen,Gelderland,10
1896,Zwartewaterland,Overijssel,21
642,Zwijndrecht,Zuid-Holland,11
193,Zwolle,Overijssel,33
,SUM,SUM,6206
