City_code,City,Province,Number
1959,Altena,Noord-Brabant,1.0
363,Amsterdam,Noord-Holland,1.0
109,Coevorden,Drenthe,1.0
503,Delft,Zuid-Holland,1.0
384,Diemen,Noord-Holland,2.0
512,Gorinchem,Zuid-Holland,1.0
855,Tilburg,Noord-Brabant,4.0
,SUM,SUM,11.0
