City_code,City,Province,Number
358,Aalsmeer,Noord-Holland,2.0
613,Albrandswaard,Zuid-Holland,1.0
361,Alkmaar,Noord-Holland,1.0
141,Almelo,Overijssel,1.0
34,Almere,Flevoland,1.0
484,Alphen aan den Rijn,Zuid-Holland,2.0
1959,Altena,Noord-Brabant,4.0
307,Amersfoort,Utrecht,2.0
362,Amstelveen,Noord-Holland,2.0
363,Amsterdam,Noord-Holland,8.0
200,Apeldoorn,Gelderland,1.0
202,Arnhem,Gelderland,3.0
1954,Beekdaelen,Limburg,8.0
1945,Berg en Dal,Gelderland,3.0
1724,Bergeijk,Noord-Brabant,1.0
748,Bergen op Zoom,Noord-Brabant,1.0
1721,Bernheze,Noord-Brabant,2.0
753,Best,Noord-Brabant,3.0
209,Beuningen,Gelderland,3.0
375,Beverwijk,Noord-Holland,4.0
376,Blaricum,Noord-Holland,1.0
377,Bloemendaal,Noord-Holland,1.0
755,Boekel,Noord-Brabant,7.0
147,Borne,Overijssel,3.0
654,Borsele,Zeeland,1.0
758,Breda,Noord-Brabant,32.0
1876,Bronckhorst,Gelderland,2.0
109,Coevorden,Drenthe,11.0
1706,Cranendonck,Noord-Brabant,1.0
1684,Cuijk,Noord-Brabant,1.0
216,Culemborg,Gelderland,1.0
310,De Bilt,Utrecht,10.0
503,Delft,Zuid-Holland,1.0
400,Den Helder,Noord-Holland,1.0
762,Deurne,Noord-Brabant,3.0
384,Diemen,Noord-Holland,2.0
1774,Dinkelland,Overijssel,2.0
766,Dongen,Noord-Brabant,4.0
1719,Drimmelen,Noord-Brabant,1.0
772,Eindhoven,Noord-Brabant,8.0
114,Emmen,Drenthe,1.0
153,Enschede,Overijssel,1.0
233,Ermelo,Gelderland,1.0
777,Etten-Leur,Noord-Brabant,5.0
779,Geertruidenberg,Noord-Brabant,1.0
1652,Gemert-Bakel,Noord-Brabant,4.0
664,Goes,Zeeland,2.0
785,Goirle,Noord-Brabant,6.0
1942,Gooise Meren,Noord-Holland,3.0
513,Gouda,Zuid-Holland,2.0
788,Haaren,Noord-Brabant,6.0
392,Haarlem,Noord-Holland,1.0
523,Hardinxveld-Giessendam,Zuid-Holland,5.0
397,Heemstede,Noord-Holland,1.0
917,Heerlen,Limburg,1.0
1658,Heeze-Leende,Noord-Brabant,1.0
163,Hellendoorn,Overijssel,2.0
794,Helmond,Noord-Brabant,12.0
797,Heusden,Noord-Brabant,2.0
798,Hilvarenbeek,Noord-Brabant,1.0
1963,Hoeksche Waard,Zuid-Holland,2.0
321,Houten,Utrecht,13.0
406,Huizen,Noord-Holland,2.0
353,IJsselstein,Utrecht,1.0
1931,Krimpenerwaard,Zuid-Holland,3.0
1685,Landerd,Noord-Brabant,2.0
416,Langedijk,Noord-Holland,1.0
1621,Lansingerland,Zuid-Holland,4.0
546,Leiden,Zuid-Holland,1.0
1916,Leidschendam-Voorburg,Zuid-Holland,2.0
995,Lelystad,Flevoland,1.0
1640,Leudal,Limburg,3.0
1705,Lingewaard,Gelderland,2.0
809,Loon op Zand,Noord-Brabant,7.0
935,Maastricht,Limburg,8.0
1948,Meierijstad,Noord-Brabant,13.0
1740,Neder-Betuwe,Gelderland,1.0
268,Nijmegen,Gelderland,4.0
575,Noordwijk,Zuid-Holland,2.0
820,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,1.0
579,Oegstgeest,Zuid-Holland,2.0
824,Oisterwijk,Noord-Brabant,4.0
86,Opsterland,Friesland,2.0
828,Oss,Noord-Brabant,2.0
1894,Peel en Maas,Limburg,3.0
1926,Pijnacker-Nootdorp,Zuid-Holland,5.0
439,Purmerend,Noord-Holland,1.0
274,Renkum,Gelderland,7.0
275,Rheden,Gelderland,1.0
597,Ridderkerk,Zuid-Holland,1.0
957,Roermond,Limburg,1.0
1674,Roosendaal,Noord-Brabant,1.0
599,Rotterdam,Zuid-Holland,15.0
441,Schagen,Noord-Holland,1.0
1676,Schouwen-Duiveland,Zeeland,1.0
518,'s-Gravenhage,Zuid-Holland,7.0
796,'s-Hertogenbosch,Noord-Brabant,5.0
965,Simpelveld,Limburg,2.0
845,Sint-Michielsgestel,Noord-Brabant,5.0
1883,Sittard-Geleen,Limburg,20.0
90,Smallingerland,Friesland,1.0
342,Soest,Utrecht,8.0
848,Son en Breugel,Noord-Brabant,1.0
971,Stein,Limburg,1.0
1904,Stichtse Vecht,Utrecht,5.0
281,Tiel,Gelderland,1.0
855,Tilburg,Noord-Brabant,42.0
183,Tubbergen,Overijssel,1.0
856,Uden,Noord-Brabant,18.0
344,Utrecht,Utrecht,18.0
1581,Utrechtse Heuvelrug,Utrecht,2.0
717,Veere,Zeeland,2.0
861,Veldhoven,Noord-Brabant,1.0
983,Venlo,Limburg,1.0
1961,Vijfheerenlanden,Utrecht,1.0
285,Voorst,Gelderland,1.0
865,Vught,Noord-Brabant,1.0
866,Waalre,Noord-Brabant,1.0
867,Waalwijk,Noord-Brabant,6.0
627,Waddinxveen,Zuid-Holland,1.0
852,Waterland,Noord-Holland,1.0
1960,West Betuwe,Gelderland,2.0
668,West Maas en Waal,Gelderland,1.0
614,Westvoorne,Zuid-Holland,1.0
296,Wijchen,Gelderland,1.0
352,Wijk bij Duurstede,Utrecht,1.0
632,Woerden,Utrecht,2.0
351,Woudenberg,Utrecht,1.0
479,Zaanstad,Noord-Holland,2.0
297,Zaltbommel,Gelderland,1.0
50,Zeewolde,Flevoland,1.0
355,Zeist,Utrecht,3.0
879,Zundert,Noord-Brabant,2.0
193,Zwolle,Overijssel,2.0
,SUM,SUM,497.0
