City_code,City,Province,Number
363,Amsterdam,Noord-Holland,1.0
503,Delft,Zuid-Holland,1.0
384,Diemen,Noord-Holland,2.0
855,Tilburg,Noord-Brabant,3.0
,SUM,SUM,7.0
