City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,69
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,5
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,2
613,Albrandswaard,Zuid-Holland,5
361,Alkmaar,Noord-Holland,21
141,Almelo,Overijssel,10
34,Almere,Flevoland,50
484,Alphen aan den Rijn,Zuid-Holland,32
1723,Alphen-Chaam,Noord-Brabant,9
1959,Altena,Noord-Brabant,19
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,24
362,Amstelveen,Noord-Holland,31
363,Amsterdam,Noord-Holland,246
200,Apeldoorn,Gelderland,22
3,Appingedam,Groningen,1
202,Arnhem,Gelderland,30
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,5
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,2
489,Barendrecht,Zuid-Holland,17
203,Barneveld,Gelderland,8
888,Beek,Limburg,0
1954,Beekdaelen,Limburg,12
370,Beemster,Noord-Holland,2
889,Beesel,Limburg,10
1945,Berg en Dal,Gelderland,17
1724,Bergeijk,Noord-Brabant,5
893,Bergen (L.),Limburg,3
373,Bergen (NH.),Noord-Holland,10
748,Bergen op Zoom,Noord-Brabant,13
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,61
753,Best,Noord-Brabant,19
209,Beuningen,Gelderland,12
375,Beverwijk,Noord-Holland,7
1728,Bladel,Noord-Brabant,10
376,Blaricum,Noord-Holland,2
377,Bloemendaal,Noord-Holland,3
1901,Bodegraven-Reeuwijk,Zuid-Holland,3
755,Boekel,Noord-Brabant,23
1681,Borger-Odoorn,Drenthe,1
147,Borne,Overijssel,10
654,Borsele,Zeeland,3
756,Boxmeer,Noord-Brabant,10
757,Boxtel,Noord-Brabant,9
758,Breda,Noord-Brabant,118
501,Brielle,Zuid-Holland,5
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,4
899,Brunssum,Limburg,9
312,Bunnik,Utrecht,4
313,Bunschoten,Utrecht,2
214,Buren,Gelderland,5
502,Capelle aan den IJssel,Zuid-Holland,22
383,Castricum,Noord-Holland,8
109,Coevorden,Drenthe,6
1706,Cranendonck,Noord-Brabant,35
1684,Cuijk,Noord-Brabant,6
216,Culemborg,Gelderland,15
148,Dalfsen,Overijssel,7
1891,Dantumadiel,Friesland,0
310,De Bilt,Utrecht,13
1940,De Fryske Marren,Friesland,11
736,De Ronde Venen,Utrecht,12
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,22
10,Delfzijl,Groningen,4
400,Den Helder,Noord-Holland,6
762,Deurne,Noord-Brabant,37
150,Deventer,Overijssel,22
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,13
221,Doesburg,Gelderland,3
222,Doetinchem,Gelderland,5
766,Dongen,Noord-Brabant,7
505,Dordrecht,Zuid-Holland,30
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,10
225,Druten,Gelderland,13
226,Duiven,Gelderland,4
1711,Echt-Susteren,Limburg,22
385,Edam-Volendam,Noord-Holland,10
228,Ede,Gelderland,29
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,13
1903,Eijsden-Margraten,Limburg,6
772,Eindhoven,Noord-Brabant,62
230,Elburg,Gelderland,4
114,Emmen,Drenthe,6
388,Enkhuizen,Noord-Holland,14
153,Enschede,Overijssel,28
232,Epe,Gelderland,10
233,Ermelo,Gelderland,9
777,Etten-Leur,Noord-Brabant,23
779,Geertruidenberg,Noord-Brabant,7
1771,Geldrop-Mierlo,Noord-Brabant,10
1652,Gemert-Bakel,Noord-Brabant,56
907,Gennep,Limburg,11
784,Gilze en Rijen,Noord-Brabant,13
1924,Goeree-Overflakkee,Zuid-Holland,26
664,Goes,Zeeland,6
785,Goirle,Noord-Brabant,17
1942,Gooise Meren,Noord-Holland,15
512,Gorinchem,Zuid-Holland,10
513,Gouda,Zuid-Holland,13
786,Grave,Noord-Brabant,10
14,Groningen,Groningen,11
1729,Gulpen-Wittem,Limburg,2
158,Haaksbergen,Overijssel,6
788,Haaren,Noord-Brabant,14
392,Haarlem,Noord-Holland,31
394,Haarlemmermeer,Noord-Holland,32
1655,Halderberge,Noord-Brabant,9
160,Hardenberg,Overijssel,9
243,Harderwijk,Gelderland,8
523,Hardinxveld-Giessendam,Zuid-Holland,1
72,Harlingen,Friesland,1
244,Hattem,Gelderland,5
396,Heemskerk,Noord-Holland,17
397,Heemstede,Noord-Holland,5
246,Heerde,Gelderland,19
74,Heerenveen,Friesland,7
398,Heerhugowaard,Noord-Holland,19
917,Heerlen,Limburg,26
1658,Heeze-Leende,Noord-Brabant,6
399,Heiloo,Noord-Holland,5
163,Hellendoorn,Overijssel,4
530,Hellevoetsluis,Zuid-Holland,6
794,Helmond,Noord-Brabant,38
531,Hendrik-Ido-Ambacht,Zuid-Holland,3
164,Hengelo,Overijssel,7
1966,Het Hogeland,Groningen,4
252,Heumen,Gelderland,8
797,Heusden,Noord-Brabant,25
534,Hillegom,Zuid-Holland,3
798,Hilvarenbeek,Noord-Brabant,5
402,Hilversum,Noord-Holland,15
1963,Hoeksche Waard,Zuid-Holland,30
1735,Hof van Twente,Overijssel,9
1911,Hollands Kroon,Noord-Holland,20
118,Hoogeveen,Drenthe,5
405,Hoorn,Noord-Holland,16
1507,Horst aan de Maas,Limburg,25
321,Houten,Utrecht,10
406,Huizen,Noord-Holland,12
677,Hulst,Zeeland,4
353,IJsselstein,Utrecht,18
1884,Kaag en Braassem,Zuid-Holland,4
166,Kampen,Overijssel,38
678,Kapelle,Zeeland,1
537,Katwijk,Zuid-Holland,9
928,Kerkrade,Limburg,10
1598,Koggenland,Noord-Holland,6
542,Krimpen aan den IJssel,Zuid-Holland,3
1931,Krimpenerwaard,Zuid-Holland,27
1659,Laarbeek,Noord-Brabant,24
1685,Landerd,Noord-Brabant,21
882,Landgraaf,Limburg,7
415,Landsmeer,Noord-Holland,3
416,Langedijk,Noord-Holland,8
1621,Lansingerland,Zuid-Holland,16
417,Laren,Noord-Holland,6
80,Leeuwarden,Friesland,19
546,Leiden,Zuid-Holland,18
547,Leiderdorp,Zuid-Holland,5
1916,Leidschendam-Voorburg,Zuid-Holland,7
995,Lelystad,Flevoland,25
1640,Leudal,Limburg,33
327,Leusden,Utrecht,5
1705,Lingewaard,Gelderland,17
553,Lisse,Zuid-Holland,3
262,Lochem,Gelderland,2
809,Loon op Zand,Noord-Brabant,15
331,Lopik,Utrecht,10
24,Loppersum,Groningen,0
168,Losser,Overijssel,3
263,Maasdriel,Gelderland,11
1641,Maasgouw,Limburg,12
556,Maassluis,Zuid-Holland,8
935,Maastricht,Limburg,26
420,Medemblik,Noord-Holland,10
938,Meerssen,Limburg,3
1948,Meierijstad,Noord-Brabant,112
119,Meppel,Drenthe,4
687,Middelburg,Zeeland,12
1842,Midden-Delfland,Zuid-Holland,2
1731,Midden-Drenthe,Drenthe,4
1952,Midden-Groningen,Groningen,4
815,Mill en Sint Hubert,Noord-Brabant,6
1709,Moerdijk,Noord-Brabant,6
1978,Molenlanden,Zuid-Holland,10
1955,Montferland,Gelderland,4
335,Montfoort,Utrecht,9
944,Mook en Middelaar,Limburg,3
1740,Neder-Betuwe,Gelderland,26
946,Nederweert,Limburg,24
356,Nieuwegein,Utrecht,17
569,Nieuwkoop,Zuid-Holland,5
267,Nijkerk,Gelderland,11
268,Nijmegen,Gelderland,79
1930,Nissewaard,Zuid-Holland,20
1970,Noardeast-Fryslân,Friesland,4
1695,Noord-Beveland,Zeeland,0
1699,Noordenveld,Drenthe,1
171,Noordoostpolder,Flevoland,6
575,Noordwijk,Zuid-Holland,8
820,"Nuenen, Gerwen en Nederwetten",Noord-Brabant,9
302,Nunspeet,Gelderland,17
579,Oegstgeest,Zuid-Holland,3
823,Oirschot,Noord-Brabant,6
824,Oisterwijk,Noord-Brabant,10
1895,Oldambt,Groningen,1
269,Oldebroek,Gelderland,8
173,Oldenzaal,Overijssel,8
1773,Olst-Wijhe,Overijssel,5
175,Ommen,Overijssel,4
1586,Oost Gelre,Gelderland,2
826,Oosterhout,Noord-Brabant,24
85,Ooststellingwerf,Friesland,1
431,Oostzaan,Noord-Holland,3
432,Opmeer,Noord-Holland,1
86,Opsterland,Friesland,4
828,Oss,Noord-Brabant,78
1509,Oude IJsselstreek,Gelderland,2
437,Ouder-Amstel,Noord-Holland,3
589,Oudewater,Utrecht,15
1734,Overbetuwe,Gelderland,38
590,Papendrecht,Zuid-Holland,1
1894,Peel en Maas,Limburg,107
765,Pekela,Groningen,4
1926,Pijnacker-Nootdorp,Zuid-Holland,10
439,Purmerend,Noord-Holland,37
273,Putten,Gelderland,1
177,Raalte,Overijssel,16
703,Reimerswaal,Zeeland,4
274,Renkum,Gelderland,11
339,Renswoude,Utrecht,1
1667,Reusel-De Mierden,Noord-Brabant,4
275,Rheden,Gelderland,22
340,Rhenen,Utrecht,3
597,Ridderkerk,Zuid-Holland,22
1742,Rijssen-Holten,Overijssel,8
603,Rijswijk,Zuid-Holland,12
1669,Roerdalen,Limburg,16
957,Roermond,Limburg,30
1674,Roosendaal,Noord-Brabant,12
599,Rotterdam,Zuid-Holland,132
277,Rozendaal,Gelderland,1
840,Rucphen,Noord-Brabant,4
518,s-Gravenhage,Zuid-Holland,96
441,Schagen,Noord-Holland,10
279,Scherpenzeel,Gelderland,0
606,Schiedam,Zuid-Holland,21
88,Schiermonnikoog,Friesland,0
1676,Schouwen-Duiveland,Zeeland,7
965,Simpelveld,Limburg,2
1702,Sint Anthonis,Noord-Brabant,14
845,Sint-Michielsgestel,Noord-Brabant,14
1883,Sittard-Geleen,Limburg,25
610,Sliedrecht,Zuid-Holland,2
1714,Sluis,Zeeland,4
90,Smallingerland,Friesland,5
342,Soest,Utrecht,9
847,Someren,Noord-Brabant,13
848,Son en Breugel,Noord-Brabant,18
37,Stadskanaal,Groningen,0
180,Staphorst,Overijssel,1
532,Stede Broec,Noord-Holland,11
851,Steenbergen,Noord-Brabant,7
1708,Steenwijkerland,Overijssel,7
971,Stein,Limburg,11
1904,Stichtse Vecht,Utrecht,16
1900,Súdwest-Fryslân,Friesland,13
715,Terneuzen,Zeeland,13
93,Terschelling,Friesland,0
448,Texel,Noord-Holland,1
1525,Teylingen,Zuid-Holland,7
716,Tholen,Zeeland,23
281,Tiel,Gelderland,21
855,Tilburg,Noord-Brabant,119
183,Tubbergen,Overijssel,7
1700,Twenterand,Overijssel,5
1730,Tynaarlo,Drenthe,5
737,Tytsjerksteradiel,Friesland,1
856,Uden,Noord-Brabant,73
450,Uitgeest,Noord-Holland,3
451,Uithoorn,Noord-Holland,9
184,Urk,Flevoland,11
344,Utrecht,Utrecht,80
1581,Utrechtse Heuvelrug,Utrecht,10
981,Vaals,Limburg,2
994,Valkenburg aan de Geul,Limburg,2
858,Valkenswaard,Noord-Brabant,8
47,Veendam,Groningen,1
345,Veenendaal,Utrecht,7
717,Veere,Zeeland,3
861,Veldhoven,Noord-Brabant,8
453,Velsen,Noord-Holland,15
983,Venlo,Limburg,66
984,Venray,Limburg,22
1961,Vijfheerenlanden,Utrecht,11
622,Vlaardingen,Zuid-Holland,15
96,Vlieland,Friesland,0
718,Vlissingen,Zeeland,6
986,Voerendaal,Limburg,2
626,Voorschoten,Zuid-Holland,5
285,Voorst,Gelderland,3
865,Vught,Noord-Brabant,24
1949,Waadhoeke,Friesland,4
866,Waalre,Noord-Brabant,1
867,Waalwijk,Noord-Brabant,16
627,Waddinxveen,Zuid-Holland,6
289,Wageningen,Gelderland,6
629,Wassenaar,Zuid-Holland,2
852,Waterland,Noord-Holland,8
988,Weert,Limburg,30
457,Weesp,Noord-Holland,4
1960,West Betuwe,Gelderland,14
668,West Maas en Waal,Gelderland,9
1969,Westerkwartier,Groningen,9
1701,Westerveld,Drenthe,1
293,Westervoort,Gelderland,3
1950,Westerwolde,Groningen,4
1783,Westland,Zuid-Holland,26
98,Weststellingwerf,Friesland,2
614,Westvoorne,Zuid-Holland,4
189,Wierden,Overijssel,2
296,Wijchen,Gelderland,30
1696,Wijdemeren,Noord-Holland,4
352,Wijk bij Duurstede,Utrecht,7
294,Winterswijk,Gelderland,1
873,Woensdrecht,Noord-Brabant,4
632,Woerden,Utrecht,25
880,Wormerland,Noord-Holland,9
351,Woudenberg,Utrecht,2
479,Zaanstad,Noord-Holland,34
297,Zaltbommel,Gelderland,9
473,Zandvoort,Noord-Holland,4
50,Zeewolde,Flevoland,4
355,Zeist,Utrecht,13
299,Zevenaar,Gelderland,18
637,Zoetermeer,Zuid-Holland,22
638,Zoeterwoude,Zuid-Holland,2
1892,Zuidplas,Zuid-Holland,10
879,Zundert,Noord-Brabant,13
301,Zutphen,Gelderland,8
1896,Zwartewaterland,Overijssel,20
642,Zwijndrecht,Zuid-Holland,9
193,Zwolle,Overijssel,28
,SUM,SUM,5088
