City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,67
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,5
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,2
613,Albrandswaard,Zuid-Holland,4
361,Alkmaar,Noord-Holland,19
141,Almelo,Overijssel,8
34,Almere,Flevoland,46
484,Alphen aan den Rijn,Zuid-Holland,29
1723,Alphen-Chaam,Noord-Brabant,9
1959,Altena,Noord-Brabant,17
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,24
362,Amstelveen,Noord-Holland,28
363,Amsterdam,Noord-Holland,244
200,Apeldoorn,Gelderland,19
3,Appingedam,Groningen,1
202,Arnhem,Gelderland,28
106,Assen,Drenthe,5
743,Asten,Noord-Brabant,4
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,2
489,Barendrecht,Zuid-Holland,16
203,Barneveld,Gelderland,5
888,Beek,Limburg,0
1954,Beekdaelen,Limburg,12
370,Beemster,Noord-Holland,2
889,Beesel,Limburg,10
1945,Berg en Dal,Gelderland,15
1724,Bergeijk,Noord-Brabant,5
893,Bergen (L.),Limburg,3
373,Bergen (NH.),Noord-Holland,8
748,Bergen op Zoom,Noord-Brabant,11
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,57
753,Best,Noord-Brabant,18
209,Beuningen,Gelderland,12
375,Beverwijk,Noord-Holland,5
1728,Bladel,Noord-Brabant,7
376,Blaricum,Noord-Holland,1
377,Bloemendaal,Noord-Holland,3
1901,Bodegraven-Reeuwijk,Zuid-Holland,2
755,Boekel,Noord-Brabant,21
1681,Borger-Odoorn,Drenthe,1
147,Borne,Overijssel,10
654,Borsele,Zeeland,3
756,Boxmeer,Noord-Brabant,8
757,Boxtel,Noord-Brabant,9
758,Breda,Noord-Brabant,113
501,Brielle,Zuid-Holland,5
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,3
899,Brunssum,Limburg,9
312,Bunnik,Utrecht,4
313,Bunschoten,Utrecht,1
214,Buren,Gelderland,5
502,Capelle aan den IJssel,Zuid-Holland,20
383,Castricum,Noord-Holland,8
109,Coevorden,Drenthe,5
1706,Cranendonck,Noord-Brabant,28
1684,Cuijk,Noord-Brabant,5
216,Culemborg,Gelderland,13
148,Dalfsen,Overijssel,7
1891,Dantumadiel,Friesland,0
310,De Bilt,Utrecht,11
1940,De Fryske Marren,Friesland,11
736,De Ronde Venen,Utrecht,11
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,19
10,Delfzijl,Groningen,4
400,Den Helder,Noord-Holland,6
762,Deurne,Noord-Brabant,34
150,Deventer,Overijssel,21
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,11
221,Doesburg,Gelderland,3
222,Doetinchem,Gelderland,5
766,Dongen,Noord-Brabant,7
505,Dordrecht,Zuid-Holland,26
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,8
225,Druten,Gelderland,12
226,Duiven,Gelderland,4
1711,Echt-Susteren,Limburg,20
385,Edam-Volendam,Noord-Holland,10
228,Ede,Gelderland,24
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,11
1903,Eijsden-Margraten,Limburg,6
772,Eindhoven,Noord-Brabant,46
230,Elburg,Gelderland,2
114,Emmen,Drenthe,6
388,Enkhuizen,Noord-Holland,13
153,Enschede,Overijssel,24
232,Epe,Gelderland,7
233,Ermelo,Gelderland,8
777,Etten-Leur,Noord-Brabant,21
779,Geertruidenberg,Noord-Brabant,7
1771,Geldrop-Mierlo,Noord-Brabant,9
1652,Gemert-Bakel,Noord-Brabant,48
907,Gennep,Limburg,9
784,Gilze en Rijen,Noord-Brabant,13
1924,Goeree-Overflakkee,Zuid-Holland,24
664,Goes,Zeeland,5
785,Goirle,Noord-Brabant,16
1942,Gooise Meren,Noord-Holland,10
512,Gorinchem,Zuid-Holland,9
513,Gouda,Zuid-Holland,13
786,Grave,Noord-Brabant,10
14,Groningen,Groningen,9
1729,Gulpen-Wittem,Limburg,2
158,Haaksbergen,Overijssel,4
788,Haaren,Noord-Brabant,14
392,Haarlem,Noord-Holland,26
394,Haarlemmermeer,Noord-Holland,31
1655,Halderberge,Noord-Brabant,9
160,Hardenberg,Overijssel,9
243,Harderwijk,Gelderland,8
523,Hardinxveld-Giessendam,Zuid-Holland,1
72,Harlingen,Friesland,1
244,Hattem,Gelderland,3
396,Heemskerk,Noord-Holland,14
397,Heemstede,Noord-Holland,4
246,Heerde,Gelderland,17
74,Heerenveen,Friesland,5
398,Heerhugowaard,Noord-Holland,17
917,Heerlen,Limburg,24
1658,Heeze-Leende,Noord-Brabant,5
399,Heiloo,Noord-Holland,5
163,Hellendoorn,Overijssel,3
530,Hellevoetsluis,Zuid-Holland,4
794,Helmond,Noord-Brabant,35
531,Hendrik-Ido-Ambacht,Zuid-Holland,3
164,Hengelo,Overijssel,6
1966,Het Hogeland,Groningen,4
252,Heumen,Gelderland,7
797,Heusden,Noord-Brabant,22
534,Hillegom,Zuid-Holland,3
798,Hilvarenbeek,Noord-Brabant,4
402,Hilversum,Noord-Holland,13
1963,Hoeksche Waard,Zuid-Holland,29
1735,Hof van Twente,Overijssel,8
1911,Hollands Kroon,Noord-Holland,17
118,Hoogeveen,Drenthe,4
405,Hoorn,Noord-Holland,13
1507,Horst aan de Maas,Limburg,21
321,Houten,Utrecht,9
406,Huizen,Noord-Holland,9
677,Hulst,Zeeland,4
353,IJsselstein,Utrecht,18
1884,Kaag en Braassem,Zuid-Holland,4
166,Kampen,Overijssel,34
678,Kapelle,Zeeland,1
537,Katwijk,Zuid-Holland,8
928,Kerkrade,Limburg,10
1598,Koggenland,Noord-Holland,4
542,Krimpen aan den IJssel,Zuid-Holland,2
1931,Krimpenerwaard,Zuid-Holland,22
1659,Laarbeek,Noord-Brabant,18
1685,Landerd,Noord-Brabant,20
882,Landgraaf,Limburg,7
415,Landsmeer,Noord-Holland,3
416,Langedijk,Noord-Holland,6
1621,Lansingerland,Zuid-Holland,15
417,Laren,Noord-Holland,5
80,Leeuwarden,Friesland,16
546,Leiden,Zuid-Holland,16
547,Leiderdorp,Zuid-Holland,5
1916,Leidschendam-Voorburg,Zuid-Holland,7
995,Lelystad,Flevoland,24
1640,Leudal,Limburg,32
327,Leusden,Utrecht,5
1705,Lingewaard,Gelderland,14
553,Lisse,Zuid-Holland,3
262,Lochem,Gelderland,2
809,Loon op Zand,Noord-Brabant,15
331,Lopik,Utrecht,11
24,Loppersum,Groningen,0
168,Losser,Overijssel,2
263,Maasdriel,Gelderland,9
1641,Maasgouw,Limburg,10
556,Maassluis,Zuid-Holland,8
935,Maastricht,Limburg,25
420,Medemblik,Noord-Holland,9
938,Meerssen,Limburg,3
1948,Meierijstad,Noord-Brabant,110
119,Meppel,Drenthe,3
687,Middelburg,Zeeland,10
1842,Midden-Delfland,Zuid-Holland,1
1731,Midden-Drenthe,Drenthe,4
1952,Midden-Groningen,Groningen,4
815,Mill en Sint Hubert,Noord-Brabant,6
1709,Moerdijk,Noord-Brabant,5
1978,Molenlanden,Zuid-Holland,9
1955,Montferland,Gelderland,3
335,Montfoort,Utrecht,9
944,Mook en Middelaar,Limburg,3
1740,Neder-Betuwe,Gelderland,22
946,Nederweert,Limburg,22
356,Nieuwegein,Utrecht,15
569,Nieuwkoop,Zuid-Holland,4
267,Nijkerk,Gelderland,10
268,Nijmegen,Gelderland,72
