City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,87
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,8
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,5
613,Albrandswaard,Zuid-Holland,5
361,Alkmaar,Noord-Holland,35
141,Almelo,Overijssel,15
34,Almere,Flevoland,77
484,Alphen aan den Rijn,Zuid-Holland,40
1723,Alphen-Chaam,Noord-Brabant,13
1959,Altena,Noord-Brabant,22
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,36
362,Amstelveen,Noord-Holland,38
363,Amsterdam,Noord-Holland,330
200,Apeldoorn,Gelderland,28
3,Appingedam,Groningen,2
202,Arnhem,Gelderland,44
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,8
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,7
489,Barendrecht,Zuid-Holland,21
203,Barneveld,Gelderland,9
888,Beek,Limburg,11
1954,Beekdaelen,Limburg,34
370,Beemster,Noord-Holland,4
889,Beesel,Limburg,13
1945,Berg en Dal,Gelderland,25
1724,Bergeijk,Noord-Brabant,9
893,Bergen (L.),Limburg,4
373,Bergen (NH.),Noord-Holland,15
748,Bergen op Zoom,Noord-Brabant,15
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,70
753,Best,Noord-Brabant,24
209,Beuningen,Gelderland,15
375,Beverwijk,Noord-Holland,10
1728,Bladel,Noord-Brabant,12
376,Blaricum,Noord-Holland,5
377,Bloemendaal,Noord-Holland,5
1901,Bodegraven-Reeuwijk,Zuid-Holland,5
755,Boekel,Noord-Brabant,27
1681,Borger-Odoorn,Drenthe,2
147,Borne,Overijssel,13
654,Borsele,Zeeland,4
756,Boxmeer,Noord-Brabant,14
757,Boxtel,Noord-Brabant,11
758,Breda,Noord-Brabant,127
501,Brielle,Zuid-Holland,7
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,6
899,Brunssum,Limburg,25
312,Bunnik,Utrecht,6
313,Bunschoten,Utrecht,3
214,Buren,Gelderland,7
502,Capelle aan den IJssel,Zuid-Holland,23
383,Castricum,Noord-Holland,12
109,Coevorden,Drenthe,9
1706,Cranendonck,Noord-Brabant,44
1684,Cuijk,Noord-Brabant,7
216,Culemborg,Gelderland,20
148,Dalfsen,Overijssel,12
1891,Dantumadiel,Friesland,2
310,De Bilt,Utrecht,18
1940,De Fryske Marren,Friesland,12
736,De Ronde Venen,Utrecht,21
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,27
10,Delfzijl,Groningen,5
400,Den Helder,Noord-Holland,8
762,Deurne,Noord-Brabant,44
150,Deventer,Overijssel,28
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,16
221,Doesburg,Gelderland,4
222,Doetinchem,Gelderland,6
766,Dongen,Noord-Brabant,11
505,Dordrecht,Zuid-Holland,49
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,15
225,Druten,Gelderland,16
226,Duiven,Gelderland,6
1711,Echt-Susteren,Limburg,27
385,Edam-Volendam,Noord-Holland,14
228,Ede,Gelderland,41
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,18
1903,Eijsden-Margraten,Limburg,36
772,Eindhoven,Noord-Brabant,87
230,Elburg,Gelderland,6
114,Emmen,Drenthe,9
388,Enkhuizen,Noord-Holland,14
153,Enschede,Overijssel,39
232,Epe,Gelderland,11
233,Ermelo,Gelderland,12
777,Etten-Leur,Noord-Brabant,31
779,Geertruidenberg,Noord-Brabant,9
1771,Geldrop-Mierlo,Noord-Brabant,18
1652,Gemert-Bakel,Noord-Brabant,61
907,Gennep,Limburg,12
784,Gilze en Rijen,Noord-Brabant,15
1924,Goeree-Overflakkee,Zuid-Holland,37
664,Goes,Zeeland,8
785,Goirle,Noord-Brabant,21
1942,Gooise Meren,Noord-Holland,16
512,Gorinchem,Zuid-Holland,11
513,Gouda,Zuid-Holland,23
786,Grave,Noord-Brabant,14
14,Groningen,Groningen,13
1729,Gulpen-Wittem,Limburg,12
158,Haaksbergen,Overijssel,10
788,Haaren,Noord-Brabant,15
392,Haarlem,Noord-Holland,36
394,Haarlemmermeer,Noord-Holland,41
1655,Halderberge,Noord-Brabant,9
160,Hardenberg,Overijssel,10
243,Harderwijk,Gelderland,8
523,Hardinxveld-Giessendam,Zuid-Holland,1
72,Harlingen,Friesland,2
244,Hattem,Gelderland,7
396,Heemskerk,Noord-Holland,19
397,Heemstede,Noord-Holland,8
246,Heerde,Gelderland,22
74,Heerenveen,Friesland,10
398,Heerhugowaard,Noord-Holland,22
917,Heerlen,Limburg,83
1658,Heeze-Leende,Noord-Brabant,7
399,Heiloo,Noord-Holland,7
