City_code,City,Province,Number
,missing postcode and abroad,missing postcode and abroad,99
796,'s-Hertogenbosch,Noord-Brabant,131
1680,Aa en Hunze,Drenthe,4
358,Aalsmeer,Noord-Holland,17
197,Aalten,Gelderland,5
59,Achtkarspelen,Friesland,2
482,Alblasserdam,Zuid-Holland,7
613,Albrandswaard,Zuid-Holland,24
361,Alkmaar,Noord-Holland,45
141,Almelo,Overijssel,19
34,Almere,Flevoland,57
484,Alphen aan den Rijn,Zuid-Holland,41
1723,Alphen-Chaam,Noord-Brabant,24
1959,Altena,Noord-Brabant,41
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,68
362,Amstelveen,Noord-Holland,75
363,Amsterdam,Noord-Holland,530
200,Apeldoorn,Gelderland,53
3,Appingedam,Groningen,1
202,Arnhem,Gelderland,59
106,Assen,Drenthe,12
743,Asten,Noord-Brabant,15
744,Baarle-Nassau,Noord-Brabant,3
308,Baarn,Utrecht,7
489,Barendrecht,Zuid-Holland,29
203,Barneveld,Gelderland,20
888,Beek,Limburg,15
1954,Beekdaelen,Limburg,39
370,Beemster,Noord-Holland,4
889,Beesel,Limburg,15
1945,Berg en Dal,Gelderland,64
1724,Bergeijk,Noord-Brabant,14
893,Bergen (L.),Limburg,2
373,Bergen (NH.),Noord-Holland,22
748,Bergen op Zoom,Noord-Brabant,17
1859,Berkelland,Gelderland,5
1721,Bernheze,Noord-Brabant,104
753,Best,Noord-Brabant,25
209,Beuningen,Gelderland,23
375,Beverwijk,Noord-Holland,20
1728,Bladel,Noord-Brabant,18
376,Blaricum,Noord-Holland,6
377,Bloemendaal,Noord-Holland,19
1901,Bodegraven-Reeuwijk,Zuid-Holland,11
755,Boekel,Noord-Brabant,59
1681,Borger-Odoorn,Drenthe,2
147,Borne,Overijssel,19
654,Borsele,Zeeland,7
756,Boxmeer,Noord-Brabant,19
757,Boxtel,Noord-Brabant,24
758,Breda,Noord-Brabant,237
501,Brielle,Zuid-Holland,11
1876,Bronckhorst,Gelderland,11
213,Brummen,Gelderland,8
899,Brunssum,Limburg,26
312,Bunnik,Utrecht,10
313,Bunschoten,Utrecht,4
214,Buren,Gelderland,8
502,Capelle aan den IJssel,Zuid-Holland,42
383,Castricum,Noord-Holland,20
109,Coevorden,Drenthe,20
