City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,81
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,7
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,5
613,Albrandswaard,Zuid-Holland,5
361,Alkmaar,Noord-Holland,33
141,Almelo,Overijssel,13
34,Almere,Flevoland,72
484,Alphen aan den Rijn,Zuid-Holland,37
1723,Alphen-Chaam,Noord-Brabant,11
1959,Altena,Noord-Brabant,21
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,34
362,Amstelveen,Noord-Holland,37
363,Amsterdam,Noord-Holland,306
200,Apeldoorn,Gelderland,26
3,Appingedam,Groningen,2
202,Arnhem,Gelderland,39
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,8
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,7
489,Barendrecht,Zuid-Holland,21
203,Barneveld,Gelderland,9
888,Beek,Limburg,10
1954,Beekdaelen,Limburg,29
370,Beemster,Noord-Holland,4
889,Beesel,Limburg,11
1945,Berg en Dal,Gelderland,23
1724,Bergeijk,Noord-Brabant,9
893,Bergen (L.),Limburg,3
373,Bergen (NH.),Noord-Holland,11
748,Bergen op Zoom,Noord-Brabant,14
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,69
753,Best,Noord-Brabant,24
209,Beuningen,Gelderland,15
375,Beverwijk,Noord-Holland,9
1728,Bladel,Noord-Brabant,12
376,Blaricum,Noord-Holland,5
377,Bloemendaal,Noord-Holland,4
1901,Bodegraven-Reeuwijk,Zuid-Holland,5
755,Boekel,Noord-Brabant,27
1681,Borger-Odoorn,Drenthe,2
147,Borne,Overijssel,13
654,Borsele,Zeeland,3
756,Boxmeer,Noord-Brabant,13
757,Boxtel,Noord-Brabant,11
758,Breda,Noord-Brabant,126
501,Brielle,Zuid-Holland,7
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,6
899,Brunssum,Limburg,24
312,Bunnik,Utrecht,5
313,Bunschoten,Utrecht,2
214,Buren,Gelderland,6
502,Capelle aan den IJssel,Zuid-Holland,23
383,Castricum,Noord-Holland,12
109,Coevorden,Drenthe,7
1706,Cranendonck,Noord-Brabant,44
1684,Cuijk,Noord-Brabant,6
216,Culemborg,Gelderland,18
148,Dalfsen,Overijssel,10
1891,Dantumadiel,Friesland,2
310,De Bilt,Utrecht,16
1940,De Fryske Marren,Friesland,12
736,De Ronde Venen,Utrecht,17
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,25
10,Delfzijl,Groningen,4
400,Den Helder,Noord-Holland,7
762,Deurne,Noord-Brabant,44
150,Deventer,Overijssel,26
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,16
221,Doesburg,Gelderland,3
222,Doetinchem,Gelderland,6
766,Dongen,Noord-Brabant,11
505,Dordrecht,Zuid-Holland,45
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,15
225,Druten,Gelderland,16
226,Duiven,Gelderland,5
1711,Echt-Susteren,Limburg,23
385,Edam-Volendam,Noord-Holland,14
228,Ede,Gelderland,34
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,18
1903,Eijsden-Margraten,Limburg,29
772,Eindhoven,Noord-Brabant,87
230,Elburg,Gelderland,4
114,Emmen,Drenthe,9
388,Enkhuizen,Noord-Holland,14
153,Enschede,Overijssel,34
232,Epe,Gelderland,11
233,Ermelo,Gelderland,12
777,Etten-Leur,Noord-Brabant,31
779,Geertruidenberg,Noord-Brabant,9
1771,Geldrop-Mierlo,Noord-Brabant,18
1652,Gemert-Bakel,Noord-Brabant,61
907,Gennep,Limburg,11
784,Gilze en Rijen,Noord-Brabant,15
1924,Goeree-Overflakkee,Zuid-Holland,33
664,Goes,Zeeland,8
785,Goirle,Noord-Brabant,20
