City_code,City,Province,Number
484,Alphen aan den Rijn,Zuid-Holland,1.0
1959,Altena,Noord-Brabant,4.0
363,Amsterdam,Noord-Holland,2.0
753,Best,Noord-Brabant,1.0
375,Beverwijk,Noord-Holland,2.0
376,Blaricum,Noord-Holland,1.0
147,Borne,Overijssel,1.0
109,Coevorden,Drenthe,3.0
216,Culemborg,Gelderland,1.0
310,De Bilt,Utrecht,2.0
503,Delft,Zuid-Holland,1.0
384,Diemen,Noord-Holland,2.0
766,Dongen,Noord-Brabant,1.0
772,Eindhoven,Noord-Brabant,3.0
1652,Gemert-Bakel,Noord-Brabant,1.0
1942,Gooise Meren,Noord-Holland,1.0
392,Haarlem,Noord-Holland,1.0
523,Hardinxveld-Giessendam,Zuid-Holland,2.0
794,Helmond,Noord-Brabant,4.0
1963,Hoeksche Waard,Zuid-Holland,1.0
321,Houten,Utrecht,9.0
809,Loon op Zand,Noord-Brabant,5.0
828,Oss,Noord-Brabant,1.0
1926,Pijnacker-Nootdorp,Zuid-Holland,2.0
599,Rotterdam,Zuid-Holland,5.0
845,Sint-Michielsgestel,Noord-Brabant,1.0
1883,Sittard-Geleen,Limburg,2.0
342,Soest,Utrecht,4.0
1904,Stichtse Vecht,Utrecht,2.0
855,Tilburg,Noord-Brabant,3.0
344,Utrecht,Utrecht,6.0
297,Zaltbommel,Gelderland,1.0
50,Zeewolde,Flevoland,1.0
,SUM,SUM,77.0
