City_code,City,Province,Number
796,'s-Hertogenbosch,Noord-Brabant,84
1680,Aa en Hunze,Drenthe,1
358,Aalsmeer,Noord-Holland,7
197,Aalten,Gelderland,1
59,Achtkarspelen,Friesland,0
482,Alblasserdam,Zuid-Holland,5
613,Albrandswaard,Zuid-Holland,5
361,Alkmaar,Noord-Holland,34
141,Almelo,Overijssel,14
34,Almere,Flevoland,77
484,Alphen aan den Rijn,Zuid-Holland,38
1723,Alphen-Chaam,Noord-Brabant,11
1959,Altena,Noord-Brabant,21
60,Ameland,Friesland,0
307,Amersfoort,Utrecht,36
362,Amstelveen,Noord-Holland,37
363,Amsterdam,Noord-Holland,323
200,Apeldoorn,Gelderland,28
3,Appingedam,Groningen,2
202,Arnhem,Gelderland,40
106,Assen,Drenthe,7
743,Asten,Noord-Brabant,8
744,Baarle-Nassau,Noord-Brabant,1
308,Baarn,Utrecht,7
489,Barendrecht,Zuid-Holland,21
203,Barneveld,Gelderland,9
888,Beek,Limburg,10
1954,Beekdaelen,Limburg,32
370,Beemster,Noord-Holland,4
889,Beesel,Limburg,11
1945,Berg en Dal,Gelderland,25
1724,Bergeijk,Noord-Brabant,9
893,Bergen (L.),Limburg,4
373,Bergen (NH.),Noord-Holland,11
748,Bergen op Zoom,Noord-Brabant,14
1859,Berkelland,Gelderland,1
1721,Bernheze,Noord-Brabant,70
753,Best,Noord-Brabant,24
209,Beuningen,Gelderland,15
375,Beverwijk,Noord-Holland,10
1728,Bladel,Noord-Brabant,12
376,Blaricum,Noord-Holland,5
377,Bloemendaal,Noord-Holland,4
1901,Bodegraven-Reeuwijk,Zuid-Holland,5
755,Boekel,Noord-Brabant,27
1681,Borger-Odoorn,Drenthe,2
147,Borne,Overijssel,13
654,Borsele,Zeeland,3
756,Boxmeer,Noord-Brabant,14
757,Boxtel,Noord-Brabant,11
758,Breda,Noord-Brabant,126
501,Brielle,Zuid-Holland,7
1876,Bronckhorst,Gelderland,1
213,Brummen,Gelderland,6
899,Brunssum,Limburg,25
312,Bunnik,Utrecht,6
313,Bunschoten,Utrecht,3
214,Buren,Gelderland,7
502,Capelle aan den IJssel,Zuid-Holland,23
383,Castricum,Noord-Holland,12
109,Coevorden,Drenthe,7
1706,Cranendonck,Noord-Brabant,44
1684,Cuijk,Noord-Brabant,7
216,Culemborg,Gelderland,19
148,Dalfsen,Overijssel,10
1891,Dantumadiel,Friesland,2
310,De Bilt,Utrecht,17
1940,De Fryske Marren,Friesland,12
736,De Ronde Venen,Utrecht,18
1690,De Wolden,Drenthe,2
503,Delft,Zuid-Holland,27
10,Delfzijl,Groningen,5
400,Den Helder,Noord-Holland,8
762,Deurne,Noord-Brabant,44
150,Deventer,Overijssel,26
384,Diemen,Noord-Holland,4
1774,Dinkelland,Overijssel,16
221,Doesburg,Gelderland,4
222,Doetinchem,Gelderland,6
766,Dongen,Noord-Brabant,11
505,Dordrecht,Zuid-Holland,46
498,Drechterland,Noord-Holland,1
1719,Drimmelen,Noord-Brabant,14
303,Dronten,Flevoland,15
225,Druten,Gelderland,16
226,Duiven,Gelderland,5
1711,Echt-Susteren,Limburg,25
385,Edam-Volendam,Noord-Holland,14
228,Ede,Gelderland,37
317,Eemnes,Utrecht,1
770,Eersel,Noord-Brabant,18
1903,Eijsden-Margraten,Limburg,32
772,Eindhoven,Noord-Brabant,87
230,Elburg,Gelderland,5
114,Emmen,Drenthe,9
388,Enkhuizen,Noord-Holland,14
153,Enschede,Overijssel,37
232,Epe,Gelderland,11
233,Ermelo,Gelderland,12
777,Etten-Leur,Noord-Brabant,31
779,Geertruidenberg,Noord-Brabant,9
1771,Geldrop-Mierlo,Noord-Brabant,18
1652,Gemert-Bakel,Noord-Brabant,61
907,Gennep,Limburg,12
784,Gilze en Rijen,Noord-Brabant,15
1924,Goeree-Overflakkee,Zuid-Holland,35
664,Goes,Zeeland,8
785,Goirle,Noord-Brabant,21
1942,Gooise Meren,Noord-Holland,16
512,Gorinchem,Zuid-Holland,11
513,Gouda,Zuid-Holland,22
786,Grave,Noord-Brabant,14
14,Groningen,Groningen,13
1729,Gulpen-Wittem,Limburg,10
158,Haaksbergen,Overijssel,10
788,Haaren,Noord-Brabant,14
392,Haarlem,Noord-Holland,35
394,Haarlemmermeer,Noord-Holland,41
1655,Halderberge,Noord-Brabant,9
160,Hardenberg,Overijssel,10
243,Harderwijk,Gelderland,8
523,Hardinxveld-Giessendam,Zuid-Holland,1
72,Harlingen,Friesland,2
244,Hattem,Gelderland,6
396,Heemskerk,Noord-Holland,18
397,Heemstede,Noord-Holland,8
246,Heerde,Gelderland,20
74,Heerenveen,Friesland,10
398,Heerhugowaard,Noord-Holland,22
917,Heerlen,Limburg,80
1658,Heeze-Leende,Noord-Brabant,7
399,Heiloo,Noord-Holland,7
163,Hellendoorn,Overijssel,6
530,Hellevoetsluis,Zuid-Holland,8
794,Helmond,Noord-Brabant,54
531,Hendrik-Ido-Ambacht,Zuid-Holland,3
164,Hengelo,Overijssel,11
1966,Het Hogeland,Groningen,5
252,Heumen,Gelderland,12
797,Heusden,Noord-Brabant,32
534,Hillegom,Zuid-Holland,5
798,Hilvarenbeek,Noord-Brabant,6
402,Hilversum,Noord-Holland,17
1963,Hoeksche Waard,Zuid-Holland,49
1735,Hof van Twente,Overijssel,12
1911,Hollands Kroon,Noord-Holland,23
118,Hoogeveen,Drenthe,7
405,Hoorn,Noord-Holland,18
1507,Horst aan de Maas,Limburg,34
321,Houten,Utrecht,15
406,Huizen,Noord-Holland,13
677,Hulst,Zeeland,4
353,IJsselstein,Utrecht,25
1884,Kaag en Braassem,Zuid-Holland,5
166,Kampen,Overijssel,39
678,Kapelle,Zeeland,1
537,Katwijk,Zuid-Holland,12
928,Kerkrade,Limburg,36
1598,Koggenland,Noord-Holland,6
542,Krimpen aan den IJssel,Zuid-Holland,4
1931,Krimpenerwaard,Zuid-Holland,32
1659,Laarbeek,Noord-Brabant,27
1685,Landerd,Noord-Brabant,25
882,Landgraaf,Limburg,29
415,Landsmeer,Noord-Holland,3
416,Langedijk,Noord-Holland,12
1621,Lansingerland,Zuid-Holland,22
417,Laren,Noord-Holland,7
80,Leeuwarden,Friesland,26
546,Leiden,Zuid-Holland,19
547,Leiderdorp,Zuid-Holland,6
1916,Leidschendam-Voorburg,Zuid-Holland,12
995,Lelystad,Flevoland,32
1640,Leudal,Limburg,46
327,Leusden,Utrecht,5
1705,Lingewaard,Gelderland,21
553,Lisse,Zuid-Holland,4
262,Lochem,Gelderland,5
809,Loon op Zand,Noord-Brabant,19
331,Lopik,Utrecht,12
24,Loppersum,Groningen,0
168,Losser,Overijssel,6
263,Maasdriel,Gelderland,12
1641,Maasgouw,Limburg,17
556,Maassluis,Zuid-Holland,10
935,Maastricht,Limburg,99
420,Medemblik,Noord-Holland,10
938,Meerssen,Limburg,10
1948,Meierijstad,Noord-Brabant,144
119,Meppel,Drenthe,4
687,Middelburg,Zeeland,13
1842,Midden-Delfland,Zuid-Holland,3
1731,Midden-Drenthe,Drenthe,6
1952,Midden-Groningen,Groningen,4
